,name,image,acreage,price,region,tags,scrape_date
0,Rangyai Island,https://www.privateislandsonline.com/uploads/resize/_597_image_fe02c338d8.jpg-1074-822.jpg,110,"160,000,000.00","Thailand, Asia","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-09-11
1,Blackbook Listing(2943),,170 - 190, Price Upon Request,"Seychelles, Africa","Islands with Beaches,Large Acreage,Ocean Island",2022-09-11
2,Blackbook Listing(2867),,100 - 200, Price Upon Request,"Spain, Europe","Large Acreage,Ocean Island,Turn Key,Income Potential",2022-09-11
3,Pumpkin Key,https://www.privateislandsonline.com/uploads/resize/_1682_60f97f2079fda.jpg-1074-822.jpg,26,"95,000,000.00","Florida, United States","Large Acreage,Ocean Island,Turn Key,Income Potential",2022-09-11
4,Spectabilis Island,https://www.privateislandsonline.com/uploads/resize/_1747_image_691ba69c7d.jpg-1074-822.jpg,460, Sold,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-09-11
5,Ifuru Resort with Airport and Funadhoo Island,https://www.privateislandsonline.com/uploads/resize/_2793_5ebb001ab79fb.jpg-1074-822.jpg,169, Price Upon Request,"Maldives, Asia","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-09-11
6,Cave Cay,https://www.privateislandsonline.com/uploads/resize/_909_6026d75621ccf.jpg-1074-822.jpg,220, Under Contract,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-09-11
7,Bird Cay and Cat Cay,https://www.privateislandsonline.com/uploads/resize/_2974_61f1701462992.JPG-1074-822.JPG,267,"50,000,000.00","The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2022-09-11
8,Royal Island,https://www.privateislandsonline.com/uploads/resize/_2885_60427f473db9a.jpg-1074-822.jpg,430,"50,000,000.00","Eleuthera, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-09-11
9,Windermere,https://www.privateislandsonline.com/uploads/resize/_2548_5c3f78488f72b.jpg-1074-822.jpg,, Price Upon Request,"Eleuthera, Bahamas, Caribbean","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Income Producing,Ocean Island,Turn Key,Historic,Income Potential",2022-09-11
10,Serenity Beaches Resort,https://www.privateislandsonline.com/uploads/resize/_2020_587fc33606fc4.jpg-1074-822.jpg,8, Price Upon Request,"Tonga, South Pacific","Islands with Beaches,Income Producing,Ocean Island,Turn Key",2022-09-11
11,Amillarah Private Islands,https://www.privateislandsonline.com/uploads/resize/_1941_image_d64f51e345.jpg-1074-822.jpg,, Price Upon Request,"Maldives, Asia","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-09-11
12,Lovango Cay,https://www.privateislandsonline.com/uploads/resize/_1815_image_20b7123f37.jpg-1074-822.jpg,5, Price Upon Request,"US Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-09-11
13,Jost Van Dyke,https://www.privateislandsonline.com/uploads/resize/_1712_image_18edc564d6.jpg-1074-822.jpg,, Price Upon Request,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2022-09-11
14,Steele Point,https://www.privateislandsonline.com/uploads/resize/_1708_5867be070eb08.jpg-1074-822.jpg,8, Price Upon Request,"British Virgin Islands, Caribbean","Ocean Island,Turn Key,Income Potential",2022-09-11
15,Ginger Island,https://www.privateislandsonline.com/uploads/resize/_1644_image_5135650d93.jpg-1074-822.jpg,258, Under Contract,"British Virgin Islands, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-09-11
16,Blunder Bay Estates,https://www.privateislandsonline.com/uploads/resize/_1566_image_50a10dc865.jpg-1074-822.jpg,1, Price Upon Request,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-09-11
17,Waldron Island,https://www.privateislandsonline.com/uploads/resize/_1549_image_fe5584ad7b.jpg-1074-822.jpg,50, Price Upon Request,"Washington, United States","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Lake Island,Turn Key,Income Potential",2022-09-11
18,Mounu Island Resort,https://www.privateislandsonline.com/uploads/resize/_1454_587fc4291df23.jpg-1074-822.jpg,7, Price Upon Request,"Tonga, South Pacific","Islands with Beaches,Income Producing,Ocean Island",2022-09-11
19,Pelican Island,https://www.privateislandsonline.com/uploads/resize/_1432_image_f98974dcac.jpg-1074-822.jpg,32, Sold,"Antigua, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2022-09-11
20,The Ocean Flower,https://www.privateislandsonline.com/uploads/resize/_1409_image_4988120d79.jpg-1074-822.jpg,, Off the Market,"Maldives, Asia","Ocean Island,Turn Key,Income Potential",2022-09-11
21,Gopher Key Florida,https://www.privateislandsonline.com/uploads/resize/_1327_image_1b87f46b91.jpg-1074-822.jpg,10, Price Upon Request,"Florida, United States",Ocean Island,2022-09-11
22,Isla Rancheria,https://www.privateislandsonline.com/uploads/resize/_430_image_e76aa795b3.jpg-1074-822.jpg,310, Price Upon Request,"Panama, Central America","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island",2022-09-11
23,Blackbook Listing(2521),,300 - 400, Price Upon Request,"SVG, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2022-09-11
24,Blackbook Listing(2106),,300 - 500, Price Upon Request,"Turks and Caicos, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-09-11
25,Motu Tane,https://www.privateislandsonline.com/uploads/resize/_2741_5e344d0a34ca2.jpg-1074-822.jpg,10,"39,000,000.00","French Polynesia, South Pacific","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-09-11
